index,Brain-regions,corr,p-value,p-value(-log10),bonferroni
0,TotalGrayVol,-0.24141301014108374,7.365106017154699e-15,14.13282099731641,significant
0,rhCortexVol,-0.2285957036153463,1.931275584184547e-13,12.714155749964254,significant
0,CortexVol,-0.2283372237226897,2.0587051095334076e-13,12.686405857594858,significant
0,lhCortexVol,-0.22773463974312755,2.388665528687922e-13,12.621844657790774,significant
0,SupraTentorialVol,-0.19891020370272514,1.8003996750992954e-10,9.744631074106474,significant
0,Left-Cerebellum-Cortex,-0.1829228976769551,4.751297299491563e-09,8.323187793935867,significant
0,Right-Cerebellum-Cortex,-0.18014868659518596,8.148554168665695e-09,8.088919443072767,significant
0,Right-Thalamus-Proper,-0.17547577079871354,1.983762673598289e-08,7.702510285665592,significant
0,rh_S_temporal_sup_thickness,-0.1649559363517463,1.3491168541774954e-07,6.869950432146788,significant
0,rh_Lat_Fis-post_thickness,-0.15589961549652837,6.394521705413407e-07,6.194191934135755,significant
0,lh_S_parieto_occipital_thickness,-0.14787603769129307,2.3616371824177706e-06,5.626786822123423,significant
0,rh_S_calcarine_thickness,-0.1476678995351287,2.4408654768542115e-06,5.612456155146431,significant
0,Left-Amygdala,-0.1454433719011017,3.4632637605040466e-06,5.46051443153188,significant
0,Brain-Stem,-0.145014377812863,3.702803241882778e-06,5.431469364708556,significant
0,lhCerebralWhiteMatterVol,-0.14172997893253542,6.139884819171219e-06,5.211839775905665,significant
0,lh_S_occipital_ant_thickness,-0.14061149901734063,7.275272689832842e-06,5.138150723926906,significant
0,lh_G_oc-temp_lat-fusifor_thickness,-0.1400373489979463,7.933387530222395e-06,5.100541330772883,significant
0,Right-Caudate,-0.13935105584633814,8.794690913389303e-06,5.055779419079544,significant
0,CerebralWhiteMatterVol,-0.13878969663078453,9.564836090583669e-06,5.019322467933076,significant
0,lh_Lat_Fis-post_thickness,-0.13769610726357648,1.1253713872890282e-05,4.948704131034218,significant
0,rhCerebralWhiteMatterVol,-0.13750863569067345,1.157039728173071e-05,4.936651728835524,significant
0,Right-Hippocampus,-0.13672538698114337,1.2987733732416885e-05,4.886466623628376,significant
0,Right-Accumbens-area,-0.13249708801315785,2.3974208582129895e-05,4.620255720511289,significant
0,rh_G&S_cingul-Mid-Ant_thickness,-0.1323328677870873,2.454276822390336e-05,4.610076453974019,significant
0,Left-Thalamus-Proper,-0.1315295942372263,2.7513314928631722e-05,4.560457080694246,significant
0,lh_S_temporal_inf_thickness,-0.1311348815098551,2.909513416002177e-05,4.536179635898898,significant
0,Left-Caudate,-0.12901666456895108,3.916785133845101e-05,4.407070252231788,significant
0,lh_S_circular_insula_sup_thickness,-0.12871687961919603,4.0835925959443335e-05,4.388957592285167,significant
0,lh_S_postcentral_thickness,-0.12731761024757135,4.955202566894847e-05,4.304938587013932,significant
0,lh_S_oc-temp_lat_thickness,-0.12708923917547396,5.113193154159056e-05,4.291307801210292,significant
0,Right-Amygdala,-0.12560427646765196,6.262770669249696e-05,4.203233491045442,significant
0,lh_G_postcentral_thickness,-0.12514673730053139,6.663594354163739e-05,4.176291448442558,significant
0,lh_G_cingul-Post-dorsal_thickness,-0.12388166815798776,7.901769894840846e-05,4.102275621434619,significant
0,rh_S_cingul-Marginalis_thickness,-0.12340972860199574,8.416992074655958e-05,4.074843081750656,significant
0,Left-VentralDC,-0.12340520788736986,8.422077314281731e-05,4.074580776094119,significant
0,Right-Putamen,-0.12260343686010915,9.371285233205124e-05,4.028200843326538,significant
0,rh_G_cingul-Post-dorsal_thickness,-0.1220262604162846,0.00010116101665455908,3.994986814704794,significant
0,lh_S_oc_middle&Lunatus_thickness,-0.12031978157069417,0.0001265796445302207,3.8976361282757903,significant
0,lh_S_central_thickness,-0.11910685699863933,0.00014817927066692783,3.82921254713026,significant
0,Left-Hippocampus,-0.11866272316566483,0.00015692132739404893,3.804318026839516,significant
0,lh_S_temporal_sup_thickness,-0.11722450771764349,0.00018867264402112872,3.7242910643921445,significant
0,lh_G&S_cingul-Mid-Post_thickness,-0.11579997818220322,0.0002259906660551054,3.645909497863547,significant
0,Right-VentralDC,-0.1120447828251661,0.0003601713845574855,3.4434907946326674,non-significant
0,rh_S_oc-temp_lat_thickness,-0.11162487964826469,0.00037911043869054645,3.421234257242549,non-significant
0,lh_G&S_paracentral_thickness,-0.1108313343239249,0.00041746473972926746,3.379380200390429,non-significant
0,lh_S_intrapariet&P_trans_thickness,-0.11040122774986168,0.00043973589133027024,3.356808085732253,non-significant
0,rh_S_circular_insula_sup_thickness,-0.10823268354276855,0.0005698876946656876,3.2442107204546415,non-significant
0,lh_S_cingul-Marginalis_thickness,-0.1074940207212843,0.0006218464127714032,3.2063168666314095,non-significant
0,rh_G&S_cingul-Mid-Post_thickness,-0.10746696079598428,0.000623830916801486,3.204933105591123,non-significant
0,lh_S_calcarine_thickness,-0.10711966397977864,0.0006498285714012551,3.187201197686146,non-significant
0,rh_G_oc-temp_lat-fusifor_thickness,-0.1065662942288407,0.0006933391431148385,3.15905428060477,non-significant
0,rh_S_oc_middle&Lunatus_thickness,-0.10400369648948739,0.0009323710944270132,3.030411199035455,non-significant
0,lh_MeanThickness_thickness,-0.1029762810960584,0.0010480466330300851,2.979619392908528,non-significant
0,avg_thickness,-0.1024068746859094,0.0011177303052640705,2.951662973788709,non-significant
0,rh_S_central_thickness,-0.10132342742891577,0.0012622689344209544,2.8988481060332574,non-significant
0,rh_MeanThickness_thickness,-0.10093188771458503,0.00131860887528694,2.87988400543505,non-significant
0,rh_S_oc_sup&transversal_thickness,-0.10082680850559828,0.0013341185709516423,2.8748055704032587,non-significant
0,rh_S_temporal_inf_thickness,-0.09954246491254229,0.0015377614160597796,2.8131110401693658,non-significant
0,Left-Putamen,-0.09759578262140439,0.0019013937853211837,2.7209279299091356,non-significant
0,lh_G_temp_sup-Plan_tempo_thickness,-0.09733110910962758,0.0019565101972949237,2.7085178842226036,non-significant
0,lh_S_precentral-inf-part_thickness,-0.09689738647333936,0.002050004620133407,2.6882451601656197,non-significant
0,rh_G_temporal_middle_thickness,-0.09687280003293859,0.002055425170720388,2.6870983294089386,non-significant
0,rh_S_parieto_occipital_thickness,-0.09642834083749664,0.002155706281228034,2.6664104128413606,non-significant
0,rh_G_cuneus_thickness,-0.09262760108992237,0.0032145236655461216,2.4928833725846307,non-significant
0,rh_S_occipital_ant_thickness,-0.09262412888337275,0.0032156767948737807,2.4927276083242864,non-significant
0,rh_Lat_Fis-ant-Horizont_thickness,-0.09252045549749399,0.0032502808804974214,2.488079106842925,non-significant
0,lh_G_rectus_thickness,-0.09218209818836928,0.003365587820178131,2.472939072668918,non-significant
0,lh_G_orbital_thickness,-0.09161500843970428,0.003567209873667103,2.447671338574685,non-significant
0,lh_S_collat_transv_ant_thickness,-0.0910661946192478,0.0037727189321900495,2.4233455485614637,non-significant
0,lh_G_front_inf-Orbital_thickness,-0.09097995973135,0.0038059698894538875,2.419534651912307,non-significant
0,lh_S_oc-temp_med&Lingual_thickness,-0.09066150003639549,0.003931080258454919,2.4054880893652886,non-significant
0,rh_G_temporal_inf_thickness,-0.0904859887745908,0.004001614889708606,2.3977647096334014,non-significant
0,lh_G_precuneus_thickness,-0.08975693513124997,0.004307052862392839,2.3658197979135958,non-significant
0,rh_G_precentral_thickness,-0.08839952826934822,0.00493252765698236,2.3069304709533887,non-significant
0,rh_S_oc-temp_med&Lingual_thickness,-0.08837337120790784,0.00494534749183161,2.3058031866789825,non-significant
0,lh_G_cingul-Post-ventral_thickness,-0.08815223126981922,0.005054938707578892,2.296284105972416,non-significant
0,lh_G_oc-temp_med-Lingual_thickness,-0.08660990637492795,0.005882244690767684,2.2304569135861967,non-significant
0,lh_S_circular_insula_ant_thickness,-0.08658162781583811,0.005898489980358233,2.229259153973567,non-significant
0,lh_G_cuneus_thickness,-0.08622247690907252,0.006108354242350358,2.214075784805377,non-significant
0,rh_S_collat_transv_ant_thickness,-0.08620223517390688,0.006120379668944728,2.2132216361856085,non-significant
0,rh_G&S_paracentral_thickness,-0.08608886377899883,0.006188126958350819,2.2084407847035075,non-significant
0,lh_S_precentral-sup-part_thickness,-0.08561130047798855,0.006480966010807934,2.1883602561825946,non-significant
0,rh_G_orbital_thickness,-0.08540660705264445,0.006610249745275209,2.1797821318992416,non-significant
0,rh_G_temp_sup-Plan_tempo_thickness,-0.08427284005001232,0.007369164010535514,2.1325817775689586,non-significant
0,rh_G_front_inf-Orbital_thickness,-0.08348992983611318,0.007937855073202736,2.100296834565024,non-significant
0,rh_S_orbital_lateral_thickness,-0.08016417985503516,0.010815465656449183,1.9659547774109496,non-significant
0,CC_Anterior,-0.07969096811155328,0.01129256986502802,1.9472072138591263,non-significant
0,rh_S_precentral-inf-part_thickness,-0.07896274606503464,0.012063265695722813,1.9185351066534666,non-significant
0,rh_S_intrapariet&P_trans_thickness,-0.07747925997965047,0.013778630604403468,1.860793942842286,non-significant
0,lh_Lat_Fis-ant-Horizont_thickness,-0.07590594756749508,0.015829498635665736,1.8005328402363157,non-significant
0,lh_G&S_cingul-Mid-Ant_thickness,-0.07448151470401924,0.01791272391924783,1.7468383676323715,non-significant
0,rh_G_cingul-Post-ventral_thickness,-0.07411154605486546,0.018491565202839944,1.7330263267971913,non-significant
0,rh_S_postcentral_thickness,-0.07411033680018218,0.01849348365481939,1.7329812722070284,non-significant
0,rh_G_postcentral_thickness,-0.07264236382179959,0.020954548305825285,1.678721696338219,non-significant
0,rh_G_precuneus_thickness,-0.07242268439748309,0.021346347144928217,1.6706764321391592,non-significant
0,rh_G&S_occipital_inf_thickness,-0.07216318285766067,0.0218173625127536,1.6611977521615424,non-significant
0,rh_S_collat_transv_post_thickness,-0.07178282127178565,0.022524059212932403,1.6473533396236946,non-significant
0,SurfaceHoles,-0.07148495958976413,0.023091264181804242,1.636552290029875,non-significant
0,Left-Accumbens-area,-0.07129667696372738,0.023456156791478597,1.6297431440100447,non-significant
0,lhSurfaceHoles,-0.06989327419221379,0.026336797885811267,1.5794370291107458,non-significant
0,rh_G_temp_sup-Lateral_thickness,-0.0695952019550236,0.02698647830678072,1.568853786496588,non-significant
0,rh_G_front_inf-Triangul_thickness,-0.0684830927931525,0.029533808874885086,1.5296805399406543,non-significant
0,rh_G&S_subcentral_thickness,-0.06818148756242044,0.03025926186515868,1.5191416702255343,non-significant
0,rh_S_suborbital_thickness,0.06811931091228016,0.030410701726538737,1.5169735584008388,non-significant
0,lh_S_subparietal_thickness,-0.06581590714023058,0.036497603581536926,1.4377356502142584,non-significant
0,rh_G_oc-temp_med-Parahip_thickness,-0.06565126463482396,0.03696983949510001,1.432152434916309,non-significant
0,lh_G_temporal_inf_thickness,-0.0641892622707904,0.04139575602229474,1.383044181356795,non-significant
0,rh_G_rectus_thickness,-0.06391683778090596,0.04226815210623903,1.373986738393028,non-significant
0,rh_S_front_inf_thickness,-0.06131853770336935,0.051396556923111965,1.2890659735996235,non-significant
0,rh_S_circular_insula_ant_thickness,-0.0612349887740066,0.051715500902453845,1.2863792644998535,non-significant
0,rhSurfaceHoles,-0.060821164039924484,0.05331973394422455,1.273112026303254,non-significant
0,rh_G_temp_sup-G_T_transv_thickness,-0.06039870809107578,0.05500002550609757,1.2596371091029406,non-significant
0,lh_G_precentral_thickness,-0.0602768722719747,0.055492730414346506,1.2557639060254286,non-significant
0,rh_S_circular_insula_inf_thickness,-0.05996607131651399,0.05676626629761705,1.2459096697990253,non-significant
0,lh_S_interm_prim-Jensen_thickness,-0.05901762357651891,0.0608035624372762,1.2160709749784628,non-significant
0,rh_Pole_temporal_thickness,-0.058492399738320336,0.06313966525392967,1.1996977249264837,non-significant
0,lh_G_temporal_middle_thickness,-0.058367343157156,0.06370667985194922,1.1958150280925093,non-significant
0,rh_G_pariet_inf-Angular_thickness,-0.057409399161877234,0.06819075629648047,1.1662744928143973,non-significant
0,rh_G_oc-temp_med-Lingual_thickness,-0.05739387863299763,0.06826548696650069,1.165798807421229,non-significant
0,lh_S_front_sup_thickness,-0.05584731890806018,0.07605614459445896,1.118865693436529,non-significant
0,3rd-Ventricle,-0.055766013994838944,0.0764849699599878,1.1164238995490372,non-significant
0,rh_S_front_sup_thickness,-0.05536496248046293,0.07862912267291405,1.104416570072487,non-significant
0,lh_G_oc-temp_med-Parahip_thickness,-0.05385591532154197,0.08713837678048997,1.059790534391567,non-significant
0,CC_Mid_Posterior,-0.0535466044943831,0.08897102432578372,1.0507514093589612,non-significant
0,lh_S_collat_transv_post_thickness,-0.053144550228899606,0.0913993783267028,1.0390567582070955,non-significant
0,4th-Ventricle,-0.05264911943839518,0.09446456652179414,1.0247310639754896,non-significant
0,lh_G_pariet_inf-Supramar_thickness,-0.05224261772648443,0.0970405334752959,1.0130468246235487,non-significant
0,lh_G&S_subcentral_thickness,-0.052087867088139894,0.09803579297384177,1.0086153339708395,non-significant
0,Right-Cerebellum-White-Matter,-0.05038451264541871,0.10953682609612019,0.9604398472022954,non-significant
0,lh_G_insular_short_thickness,-0.04947650625149819,0.1160890071005523,0.9352089032726612,non-significant
0,rh_S_pericallosal_thickness,0.048960139571549974,0.11995003362758687,0.9209996259431421,non-significant
0,rh_S_orbital-H_Shaped_thickness,-0.046555427513735835,0.13926753232229774,0.8561501195902453,non-significant
0,rh_S_subparietal_thickness,-0.046265538886169626,0.14174930038613937,0.8484790759213976,non-significant
0,lh_S_orbital_lateral_thickness,-0.04467649860260504,0.15595979671061497,0.8069873395748167,non-significant
0,rh_S_interm_prim-Jensen_thickness,-0.044650004193140296,0.15620555944774808,0.8063035133875707,non-significant
0,Left-Lateral-Ventricle,-0.04341719119620004,0.1679683249534293,0.7747726087201031,non-significant
0,CC_Posterior,-0.04168213265806994,0.185631352518731,0.7313486710269291,non-significant
0,rh_G_pariet_inf-Supramar_thickness,-0.041326105831523595,0.18941945862459164,0.7225754089694588,non-significant
0,rh_S_precentral-sup-part_thickness,-0.04100944571981402,0.1928362386679961,0.7148113481580465,non-significant
0,rh_G&S_frontomargin_thickness,0.040104939410590665,0.20284459138998853,0.6928365677516105,non-significant
0,Left-Pallidum,-0.03984270306109359,0.20581567064127743,0.686521561478645,non-significant
0,rh_S_temporal_transverse_thickness,-0.03939798903775567,0.21092612182267764,0.6758696323945008,non-significant
0,rh_G_front_inf-Opercular_thickness,-0.03937197035230958,0.21122792941626575,0.6752486581580185,non-significant
0,lh_G_parietal_sup_thickness,-0.037074760512280196,0.23911569784979933,0.6213919116895035,non-significant
0,rh_G_parietal_sup_thickness,-0.03655158862187981,0.24581396227671487,0.6093934527452601,non-significant
0,lh_S_oc_sup&transversal_thickness,-0.03602817385282777,0.2526457051817039,0.5974880800964035,non-significant
0,lh_Pole_temporal_thickness,-0.03541467401799557,0.2608200744986902,0.5836589853768825,non-significant
0,lh_G_subcallosal_thickness,-0.03534981350874713,0.2616948432453353,0.5822048351444548,non-significant
0,lh_G_temp_sup-G_T_transv_thickness,-0.034197830283639444,0.27756934746364725,0.5566284955745862,non-significant
0,lh_S_circular_insula_inf_thickness,-0.033834937151980396,0.2827029663449897,0.5486696345225014,non-significant
0,lh_G&S_occipital_inf_thickness,-0.03380455860590471,0.2831356084035048,0.5480055083789229,non-significant
0,rh_S_front_middle_thickness,-0.03258122591648312,0.3009305292918658,0.5215337510089201,non-significant
0,Right-Inf-Lat-Vent,0.03172195384976054,0.31386532994492095,0.5032566544980721,non-significant
0,lh_G_Ins_lg&S_cent_ins_thickness,-0.03159170789057951,0.31585736159847644,0.5005089966726082,non-significant
0,CC_Mid_Anterior,-0.031128713161469798,0.32300553918560493,0.4907900299378899,non-significant
0,lh_S_front_inf_thickness,-0.029899485871668505,0.34249039204301956,0.4653516073576199,non-significant
0,Right-Lateral-Ventricle,-0.029801074812917806,0.34408213192675774,0.46333787956475764,non-significant
0,rh_G_Ins_lg&S_cent_ins_thickness,-0.02895681118423054,0.357930812020287,0.44620091431073305,non-significant
0,WM-hypointensities,0.027528962044009796,0.3821365855528318,0.41778138119908037,non-significant
0,lh_S_suborbital_thickness,0.02747732322912804,0.3830303759336555,0.41676678327090555,non-significant
0,CSF,-0.02747493647019489,0.3830717180450889,0.41671991053416646,non-significant
0,lh_Lat_Fis-ant-Vertical_thickness,-0.026175303555666083,0.4059869535544758,0.3914879223103366,non-significant
0,lh_G_front_middle_thickness,0.025777148561750805,0.4131675703376557,0.38387377373547976,non-significant
0,Left-Cerebellum-White-Matter,-0.025287969880797876,0.42209182649881505,0.3745930575608986,non-significant
0,rh_G_occipital_sup_thickness,0.02285947901470432,0.46803447217005745,0.3297221586312414,non-significant
0,Right-Pallidum,-0.022557459190161097,0.4739353827953444,0.3242808667824632,non-significant
0,lh_G_front_inf-Triangul_thickness,-0.021840056875049828,0.48811436996692936,0.3114784066326042,non-significant
0,rh_G_insular_short_thickness,-0.021294845503775212,0.49904104027834073,0.301863737275389,non-significant
0,lh_S_front_middle_thickness,-0.020662627541291858,0.5118721054019038,0.29083853679105687,non-significant
0,lh_G&S_frontomargin_thickness,-0.020024389998919603,0.5249975646109833,0.2798427112196896,non-significant
0,lh_G_front_inf-Opercular_thickness,-0.019965694470565842,0.5262132281658591,0.2788382386387069,non-significant
0,lh_G_occipital_middle_thickness,-0.01939149156064906,0.5381810135279486,0.2690716277641842,non-significant
0,Left-Inf-Lat-Vent,0.01905824088206046,0.5451887745575946,0.26345309487309937,non-significant
0,Left-choroid-plexus,-0.01860418148418991,0.5548091837351095,0.25585635867937495,non-significant
0,rh_G&S_cingul-Ant_thickness,0.017749074493319278,0.5731487287137169,0.24173266655213252,non-significant
0,rh_G_occipital_middle_thickness,-0.017649968271024385,0.5752926960044016,0.24011113980227886,non-significant
0,lh_G&S_transv_frontopol_thickness,-0.01734728370162528,0.5818640014327149,0.23517851076111276,non-significant
0,lh_G&S_cingul-Ant_thickness,0.014271952982636626,0.6505263002521093,0.18673514057285087,non-significant
0,CC_Central,-0.014093318662457919,0.6546149698010325,0.18401406742452103,non-significant
0,lh_G_front_sup_thickness,-0.013869295510412175,0.6597571660476329,0.18061588393012976,non-significant
0,lh_S_orbital-H_Shaped_thickness,-0.012202377821615831,0.6985105620871732,0.15582702258989034,non-significant
0,Optic-Chiasm,0.012018453397673943,0.702837301870183,0.1531451971390588,non-significant
0,rh_Lat_Fis-ant-Vertical_thickness,0.011438081230108614,0.7165528615255611,0.14475176531963554,non-significant
0,lh_G_temp_sup-Plan_polar_thickness,-0.010524398143806417,0.7383300030035262,0.13174948309572543,non-significant
0,lh_G_occipital_sup_thickness,-0.010102505998474324,0.7484580096268845,0.12583255964808382,non-significant
0,lh_S_pericallosal_thickness,-0.010096661558187394,0.7485986215486293,0.125750976920201,non-significant
0,lh_G_temp_sup-Lateral_thickness,-0.008226681566931283,0.7939932674769206,0.10018318007922487,non-significant
0,Right-choroid-plexus,-0.008182483000028516,0.7950753621725157,0.09959170426872187,non-significant
0,rh_G_front_sup_thickness,-0.007579774461431812,0.8098696792357567,0.0915848603093317,non-significant
0,Left-vessel,-0.006233455432607549,0.8431554465627062,0.07409235021404637,non-significant
0,rh_G_temp_sup-Plan_polar_thickness,-0.006031261923570385,0.8481801907648392,0.07151187469873577,non-significant
0,Right-vessel,-0.006008413352345776,0.8487483959832345,0.07122103346700998,non-significant
0,lh_S_temporal_transverse_thickness,-0.004770618387214902,0.8796398864240256,0.05569508619947344,non-significant
0,rh_G&S_transv_frontopol_thickness,-0.004709738718729252,0.8811643826501424,0.054943065687318236,non-significant
0,lh_Pole_occipital_thickness,0.0045321459272112865,0.8856140008584625,0.052755526222030065,non-significant
0,rh_G_subcallosal_thickness,0.003944239725881677,0.900369047309939,0.04557944349554468,non-significant
0,rh_Pole_occipital_thickness,0.0038536773498432397,0.9026451371471225,0.04448295319589454,non-significant
0,lh_G_pariet_inf-Angular_thickness,-0.0017873433406693459,0.9547583920654987,0.020106515607988176,non-significant
0,rh_G_front_middle_thickness,0.0014805335309031119,0.9625181279390547,0.016591082297632086,non-significant
